Precision,Recall,F-Measure,MAP
0.2,0.4,0.26666666666666666,0.6666666666666666
0.1,0.5,0.16666666666666669,0.3333333333333333
0.1,0.5,0.16666666666666669,0.3333333333333333
0.1,1.0,0.18181818181818182,1.0
0.2,0.09523809523809523,0.12903225806451613,0.5
0.5,0.23809523809523808,0.3225806451612903,0.7088888888888889
0.3,0.2,0.24,0.5444444444444444
0.7,0.3333333333333333,0.45161290322580644,0.961734693877551
0.3,0.5,0.37499999999999994,0.6333333333333333
0.2,0.6666666666666666,0.30769230769230765,0.75
0.4,0.6666666666666666,0.5,0.7470238095238095
0.5,0.8333333333333334,0.625,0.9666666666666666
0.3,0.5,0.37499999999999994,1.0
0.2,1.0,0.33333333333333337,1.0
0.1,1.0,0.18181818181818182,1.0
0.1,1.0,0.18181818181818182,1.0
0.4,0.5,0.4444444444444445,0.875
0.2,0.6666666666666666,0.30769230769230765,0.75
0.1,0.3333333333333333,0.15384615384615383,0.16666666666666666
0.4,1.0,0.5714285714285715,0.6916666666666667
0.2,0.6666666666666666,0.30769230769230765,0.35
0.3,0.42857142857142855,0.3529411764705882,0.8055555555555555
0.4,0.4,0.4000000000000001,0.8303571428571428
0.6,0.35294117647058826,0.4444444444444445,0.7884920634920634
0.4,0.19047619047619047,0.25806451612903225,0.4571428571428572
0.4,0.5,0.4444444444444445,0.46825396825396826
0.4,0.36363636363636365,0.380952380952381,0.7333333333333333
0.3,0.5,0.37499999999999994,0.40277777777777773
0.5,1.0,0.6666666666666666,1.0
0.0,0.0,NaN,0.0
0.4,0.4444444444444444,0.4210526315789474,0.8541666666666666
0.3,0.3333333333333333,0.3157894736842105,0.4888888888888889
0.2,1.0,0.33333333333333337,0.7
0.7,0.7,0.7,0.7375850340136055
0.2,0.6666666666666666,0.30769230769230765,1.0
0.8,0.8,0.8000000000000002,0.7198412698412698
0.8,0.4,0.5333333333333333,0.7260912698412698
0.4,0.3333333333333333,0.3636363636363636,0.5238095238095237
0.5,0.8333333333333334,0.625,0.7392857142857142
0.5,0.4166666666666667,0.45454545454545453,0.5088888888888888
0.5,0.7142857142857143,0.588235294117647,0.6422222222222222
0.2,0.3333333333333333,0.25,0.2111111111111111
0.0,0.0,NaN,0.0
0.5,0.4166666666666667,0.45454545454545453,0.5857142857142857
0.4,0.8,0.5333333333333333,0.8541666666666666
0.2,1.0,0.33333333333333337,0.375
0.2,0.5,0.28571428571428575,0.41666666666666663
