Precision,Recall,F-Measure,MAP
0.2,0.4,0.26666666666666666,0.75
0.1,0.5,0.16666666666666669,1.0
0.1,0.5,0.16666666666666669,1.0
0.1,1.0,0.18181818181818182,1.0
0.2,0.09523809523809523,0.12903225806451613,0.3611111111111111
0.4,0.19047619047619047,0.25806451612903225,0.8303571428571428
0.3,0.2,0.24,0.5444444444444444
0.7,0.3333333333333333,0.45161290322580644,0.9821428571428571
0.3,0.5,0.37499999999999994,0.5694444444444444
0.3,1.0,0.4615384615384615,0.6428571428571429
0.5,0.8333333333333334,0.625,0.7783333333333333
0.5,0.8333333333333334,0.625,0.8766666666666666
0.3,0.5,0.37499999999999994,1.0
0.2,1.0,0.33333333333333337,1.0
0.1,1.0,0.18181818181818182,1.0
0.1,1.0,0.18181818181818182,1.0
0.5,0.625,0.5555555555555556,0.9
0.3,1.0,0.4615384615384615,0.6428571428571429
0.1,0.3333333333333333,0.15384615384615383,0.5
0.4,1.0,0.5714285714285715,0.6916666666666667
0.1,0.3333333333333333,0.15384615384615383,0.5
0.3,0.42857142857142855,0.3529411764705882,0.5277777777777778
0.4,0.4,0.4000000000000001,0.8303571428571428
0.6,0.35294117647058826,0.4444444444444445,0.7438492063492065
0.4,0.19047619047619047,0.25806451612903225,0.65
0.4,0.5,0.4444444444444445,0.4861111111111111
0.4,0.36363636363636365,0.380952380952381,0.6845238095238095
0.3,0.5,0.37499999999999994,0.5
0.5,1.0,0.6666666666666666,1.0
0.0,0.0,NaN,0.0
0.4,0.4444444444444444,0.4210526315789474,1.0
0.2,0.2222222222222222,0.2105263157894737,0.5833333333333333
0.2,1.0,0.33333333333333337,0.6666666666666666
0.7,0.7,0.7,0.6797619047619048
0.2,0.6666666666666666,0.30769230769230765,1.0
0.8,0.8,0.8000000000000002,0.7885912698412698
0.8,0.4,0.5333333333333333,0.7260912698412698
0.4,0.3333333333333333,0.3636363636363636,0.44047619047619047
0.5,0.8333333333333334,0.625,0.8583333333333332
0.5,0.4166666666666667,0.45454545454545453,0.5333333333333333
0.4,0.5714285714285714,0.47058823529411764,0.7928571428571429
0.1,0.16666666666666666,0.125,0.25
0.0,0.0,NaN,0.0
0.5,0.4166666666666667,0.45454545454545453,0.7592857142857143
0.4,0.8,0.5333333333333333,0.8541666666666666
0.2,1.0,0.33333333333333337,0.3611111111111111
0.2,0.5,0.28571428571428575,0.5
