Search Engine,Precision,Recall,F-Measure,MAP
SE0,0.1846808510638298,0.7000321469658141,0.2922586939755907,0.6138497572039509
SE1,0.18638297872340429,0.7091357884223967,0.29518273745795687,0.6137271445390561
SE1p,0.1846808510638298,0.7023773403623215,0.2924625379480795,0.6203282145623558
SE2,0.1761702127659575,0.675578961436283,0.2794646428343353,0.598618351419947
SE2p,0.17872340425531918,0.6825042847571007,0.28326885154030784,0.5958492869645566
SE3,0.18808510638297876,0.7210405503271585,0.29834597145895936,0.6035743616517764
SE3p,0.18127659574468089,0.6922456281029497,0.28731479853803954,0.6555554937775894
SE4,0.19234042553191494,0.734711905394008,0.30486909058457334,0.6390886429740167
SE4p,0.18723404255319154,0.7237338971694417,0.29750250780739673,0.6166664059531939
