 ,SE0,SE1,SE1`,SE2,SE2`,SE3,SE3`,SE4,SE4`
Precision,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.9,0.9
Recall,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.42857142857142855
F-Measure,0.45161290322580644,0.45161290322580644,0.45161290322580644,0.45161290322580644,0.45161290322580644,0.45161290322580644,0.45161290322580644,0.5806451612903225,0.5806451612903225
MAP,0.936734693877551,0.936734693877551,0.936734693877551,0.9478458049886621,0.9214285714285715,0.961734693877551,0.9821428571428571,0.9888888888888889,0.9626543209876544
