 ,SE0,SE1,SE1`,SE2,SE2`,SE3,SE3`,SE4,SE4`
Precision,0.4,0.3,0.4,0.3,0.4,0.4,0.4,0.4,0.4
Recall,0.3333333333333333,0.25,0.3333333333333333,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
F-Measure,0.3636363636363636,0.2727272727272727,0.3636363636363636,0.2727272727272727,0.3636363636363636,0.3636363636363636,0.3636363636363636,0.3636363636363636,0.3636363636363636
MAP,0.5277777777777777,0.5555555555555555,0.5178571428571428,0.5555555555555555,0.5,0.5238095238095237,0.44047619047619047,0.6041666666666666,0.6220238095238095
