 ,SE0,SE1,SE1`,SE2,SE2`,SE3,SE3`,SE4,SE4`
Precision,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Recall,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
F-Measure,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333
MAP,0.95,0.95,0.95,0.95,0.95,0.8541666666666666,0.8541666666666666,0.95,0.8875
