 ,SE0,SE1,SE1`,SE2,SE2`,SE3,SE3`,SE4,SE4`
Precision,0.5,0.5,0.5,0.3,0.4,0.4,0.4,0.5,0.4
Recall,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.14285714285714285,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.23809523809523808,0.19047619047619047
F-Measure,0.3225806451612903,0.3225806451612903,0.3225806451612903,0.19354838709677416,0.25806451612903225,0.25806451612903225,0.25806451612903225,0.3225806451612903,0.25806451612903225
MAP,0.5088888888888888,0.5088888888888888,0.52,0.4761904761904762,0.46825396825396826,0.4571428571428572,0.65,0.4188888888888888,0.41944444444444445
