 ,SE0,SE1,SE1`,SE2,SE2`,SE3,SE3`,SE4,SE4`
Precision,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3
Recall,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.3333333333333333
F-Measure,0.2105263157894737,0.2105263157894737,0.2105263157894737,0.2105263157894737,0.2105263157894737,0.3157894736842105,0.2105263157894737,0.2105263157894737,0.3157894736842105
MAP,0.5833333333333333,0.5833333333333333,0.5833333333333333,0.5833333333333333,0.5833333333333333,0.4888888888888889,0.5833333333333333,0.5833333333333333,0.4888888888888889
