 ,SE0,SE1,SE1`,SE2,SE2`,SE3,SE3`,SE4,SE4`
Precision,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4
Recall,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.19047619047619047,0.19047619047619047,0.19047619047619047
F-Measure,0.3225806451612903,0.3225806451612903,0.3225806451612903,0.3225806451612903,0.3225806451612903,0.3225806451612903,0.25806451612903225,0.25806451612903225,0.25806451612903225
MAP,0.7944444444444445,0.8444444444444444,0.7944444444444445,0.8253968253968254,0.8253968253968254,0.7088888888888889,0.8303571428571428,0.8611111111111112,0.8611111111111112
