 ,SE0,SE1,SE1`,SE2,SE2`,SE3,SE3`,SE4,SE4`
Precision,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4
Recall,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365
F-Measure,0.28571428571428564,0.28571428571428564,0.28571428571428564,0.28571428571428564,0.28571428571428564,0.380952380952381,0.380952380952381,0.380952380952381,0.380952380952381
MAP,0.6984126984126983,0.8095238095238094,0.8095238095238094,0.8333333333333334,0.8333333333333334,0.7333333333333333,0.6845238095238095,0.7678571428571428,0.7321428571428571
