 ,SE0,SE1,SE1`,SE2,SE2`,SE3,SE3`,SE4,SE4`
Precision,0.3,0.3,0.3,0.2,0.2,0.5,0.5,0.5,0.5
Recall,0.25,0.25,0.25,0.16666666666666666,0.16666666666666666,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667
F-Measure,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.1818181818181818,0.1818181818181818,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453
MAP,0.5277777777777778,0.5277777777777778,0.5277777777777778,0.6,0.6,0.5857142857142857,0.7592857142857143,0.49777777777777776,0.75
