 ,SE0,SE1,SE1`,SE2,SE2`,SE3,SE3`,SE4,SE4`
Precision,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Recall,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
F-Measure,0.30769230769230765,0.30769230769230765,0.30769230769230765,0.30769230769230765,0.30769230769230765,0.30769230769230765,0.30769230769230765,0.30769230769230765,0.30769230769230765
MAP,1.0,1.0,1.0,0.8333333333333333,0.8333333333333333,1.0,1.0,0.8333333333333333,0.8333333333333333
