 ,SE0,SE1,SE1`,SE2,SE2`,SE3,SE3`,SE4,SE4`
Precision,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3
Recall,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.2,0.2,0.2,0.2,0.2
F-Measure,0.16,0.16,0.16,0.16,0.24,0.24,0.24,0.24,0.24
MAP,0.20833333333333331,0.20833333333333331,0.19642857142857142,0.6666666666666666,0.5444444444444444,0.5444444444444444,0.5444444444444444,0.24206349206349206,0.37777777777777777
