 ,SE0,SE1,SE1`,SE2,SE2`,SE3,SE3`,SE4,SE4`
Precision,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5
Recall,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334
F-Measure,0.5,0.5,0.5,0.5,0.5,0.5,0.625,0.625,0.625
MAP,0.7152777777777777,0.7152777777777777,0.7152777777777777,0.7470238095238095,0.7470238095238095,0.7470238095238095,0.7783333333333333,0.7595238095238095,0.6783333333333333
