 ,SE0,SE1,SE1`,SE2,SE2`,SE3,SE3`,SE4,SE4`
Precision,0.4,0.5,0.4,0.4,0.4,0.5,0.4,0.4,0.4
Recall,0.5714285714285714,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.5714285714285714
F-Measure,0.47058823529411764,0.588235294117647,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.588235294117647,0.47058823529411764,0.47058823529411764,0.47058823529411764
MAP,0.7361111111111112,0.7,0.7678571428571428,0.7361111111111112,0.7678571428571428,0.6422222222222222,0.7928571428571429,0.625,0.6666666666666666
