 ,SE0,SE1,SE1`,SE2,SE2`,SE3,SE3`,SE4,SE4`
Precision,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
Recall,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666
F-Measure,0.125,0.125,0.125,0.125,0.125,0.25,0.125,0.125,0.125
MAP,0.5,0.5,0.5,0.5,0.5,0.2111111111111111,0.25,0.2,0.2
