 ,SE0,SE1,SE1`,SE2,SE2`,SE3,SE3`,SE4,SE4`
Precision,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Recall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F-Measure,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MAP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
