 ,SE0,SE1,SE1`,SE2,SE2`,SE3,SE3`,SE4,SE4`
Precision,0.4,0.4,0.5,0.4,0.4,0.4,0.5,0.5,0.5
Recall,0.5,0.5,0.625,0.5,0.5,0.5,0.625,0.625,0.625
F-Measure,0.4444444444444445,0.4444444444444445,0.5555555555555556,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.5555555555555556,0.5555555555555556,0.5555555555555556
MAP,0.75,0.7678571428571428,0.7453968253968254,0.7071428571428571,0.8303571428571428,0.875,0.9,0.8392857142857142,0.86
