 ,SE0,SE1,SE1`,SE2,SE2`,SE3,SE3`,SE4,SE4`
Precision,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Recall,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F-Measure,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182
MAP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
