 ,SE0,SE1,SE1`,SE2,SE2`,SE3,SE3`,SE4,SE4`
Precision,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Recall,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
F-Measure,0.37499999999999994,0.37499999999999994,0.37499999999999994,0.37499999999999994,0.37499999999999994,0.37499999999999994,0.37499999999999994,0.37499999999999994,0.37499999999999994
MAP,0.6984126984126983,0.6428571428571429,0.6428571428571429,0.44285714285714284,0.6095238095238095,0.40277777777777773,0.5,0.625,0.425
