 ,SE0,SE1,SE1`,SE2,SE2`,SE3,SE3`,SE4,SE4`
Precision,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.3
Recall,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.42857142857142855
F-Measure,0.47058823529411764,0.47058823529411764,0.3529411764705882,0.3529411764705882,0.3529411764705882,0.3529411764705882,0.3529411764705882,0.47058823529411764,0.3529411764705882
MAP,0.5654761904761905,0.5404761904761904,0.5873015873015873,0.5277777777777778,0.5277777777777778,0.8055555555555555,0.5277777777777778,0.6220238095238095,0.8055555555555555
