 ,SE0,SE1,SE1`,SE2,SE2`,SE3,SE3`,SE4,SE4`
Precision,0.2,0.2,0.3,0.4,0.4,0.2,0.2,0.3,0.3
Recall,0.09523809523809523,0.09523809523809523,0.14285714285714285,0.19047619047619047,0.19047619047619047,0.09523809523809523,0.09523809523809523,0.14285714285714285,0.14285714285714285
F-Measure,0.12903225806451613,0.12903225806451613,0.19354838709677416,0.25806451612903225,0.25806451612903225,0.12903225806451613,0.12903225806451613,0.19354838709677416,0.19354838709677416
MAP,0.45,0.45,0.39999999999999997,0.37976190476190474,0.4012896825396825,0.5,0.3611111111111111,0.625,0.5666666666666667
