 ,SE0,SE1,SE1`,SE2,SE2`,SE3,SE3`,SE4,SE4`
Precision,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Recall,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
F-Measure,0.15384615384615383,0.15384615384615383,0.15384615384615383,0.15384615384615383,0.15384615384615383,0.15384615384615383,0.15384615384615383,0.15384615384615383,0.15384615384615383
MAP,0.5,0.5,0.5,0.5,0.5,0.16666666666666666,0.5,0.3333333333333333,0.3333333333333333
