 ,SE0,SE1,SE1`,SE2,SE2`,SE3,SE3`,SE4,SE4`
Precision,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.4
Recall,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.4444444444444444
F-Measure,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.4210526315789474,0.4210526315789474,0.5263157894736842,0.4210526315789474
MAP,0.7311111111111112,0.7311111111111112,0.7311111111111112,0.7342857142857143,0.7342857142857143,0.8541666666666666,1.0,0.8444444444444444,0.95
