 ,SE0,SE1,SE1`,SE2,SE2`,SE3,SE3`,SE4,SE4`
Precision,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Recall,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F-Measure,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337
MAP,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.7,0.6666666666666666,0.8333333333333333,0.7
