 ,SE0,SE1,SE1`,SE2,SE2`,SE3,SE3`,SE4,SE4`
Precision,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Recall,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
F-Measure,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4444444444444445
MAP,0.625,0.625,0.5,0.44047619047619047,0.44047619047619047,0.46825396825396826,0.4861111111111111,0.6,0.4571428571428572
