 ,SE0,SE1,SE1`,SE2,SE2`,SE3,SE3`,SE4,SE4`
Precision,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Recall,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
F-Measure,0.37499999999999994,0.37499999999999994,0.37499999999999994,0.37499999999999994,0.37499999999999994,0.37499999999999994,0.37499999999999994,0.37499999999999994,0.37499999999999994
MAP,0.6095238095238095,0.6095238095238095,0.6095238095238095,0.5873015873015873,0.5873015873015873,0.6333333333333333,0.5694444444444444,0.5396825396825397,0.5694444444444444
