 ,SE0,SE1,SE1`,SE2,SE2`,SE3,SE3`,SE4,SE4`
Precision,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5
Recall,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667
F-Measure,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.3636363636363636,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453
MAP,0.5722222222222222,0.5533333333333333,0.5644444444444444,0.5944444444444444,0.5527777777777778,0.5088888888888888,0.5333333333333333,0.5222222222222221,0.5422222222222223
