 ,SE0,SE1,SE1`,SE2,SE2`,SE3,SE3`,SE4,SE4`
Precision,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5
Recall,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
F-Measure,0.5,0.5,0.5,0.5,0.5,0.625,0.625,0.625,0.625
MAP,0.8541666666666666,0.95,0.95,0.8875,0.8875,0.7392857142857142,0.8583333333333332,0.7892857142857143,0.7592857142857143
