 ,SE0,SE1,SE1`,SE2,SE2`,SE3,SE3`,SE4,SE4`
Precision,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.7,0.7
Recall,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.4117647058823529,0.35294117647058826,0.35294117647058826,0.4117647058823529,0.4117647058823529
F-Measure,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.5185185185185185,0.4444444444444445,0.4444444444444445,0.5185185185185185,0.5185185185185185
MAP,0.762037037037037,0.762037037037037,0.7736111111111109,0.7842592592592591,0.7511904761904763,0.7884920634920634,0.7438492063492065,0.8329931972789115,0.8329931972789115
