Search Engine,Precision,Recall,F-Measure,MAP
SE0,0.3148936170212766,0.5408028072608799,0.3980274948945814,0.6699090357183064
SE1,0.3148936170212766,0.5420692712933015,0.39837000141125395,0.6735513862755504
SE1p,0.31702127659574464,0.5414360392770907,0.39989581588467316,0.6741134148694938
SE2,0.3085106382978723,0.5342171942922883,0.3911385888235267,0.6544632403788938
SE2p,0.31489361702127655,0.537900369690107,0.39723871333094757,0.6488050610315048
SE3,0.33404255319148934,0.5537806096003842,0.41671877124074724,0.6499597746900179
SE3p,0.33191489361702126,0.5571156315524276,0.4159924104830009,0.6975852752448497
SE4,0.35106382978723405,0.5891000565280916,0.43994823664874194,0.6768029020118683
SE4p,0.34255319148936175,0.563770775879662,0.4261643418889738,0.6743570249218677
