Search Engine,Precision,Recall,F-Measure,MAP
SE0,0.3,1.0,0.4615384615384615,0.7555555555555555
SE1,0.3,1.0,0.4615384615384615,0.7555555555555555
SE1`,0.3,1.0,0.4615384615384615,0.8666666666666667
SE2,0.3,1.0,0.4615384615384615,0.6805555555555555
SE2`,0.3,1.0,0.4615384615384615,0.611111111111111
SE3,0.2,0.6666666666666666,0.30769230769230765,0.75
SE3`,0.3,1.0,0.4615384615384615,0.6428571428571429
SE4,0.2,0.6666666666666666,0.30769230769230765,0.7
SE4`,0.2,0.6666666666666666,0.30769230769230765,0.6
