Search Engine,Precision,Recall,F-Measure,MAP
SE0,0.2,0.6666666666666666,0.30769230769230765,0.8333333333333333
SE1,0.2,0.6666666666666666,0.30769230769230765,0.8333333333333333
SE1`,0.2,0.6666666666666666,0.30769230769230765,0.8333333333333333
SE2,0.2,0.6666666666666666,0.30769230769230765,0.75
SE2`,0.2,0.6666666666666666,0.30769230769230765,0.75
SE3,0.2,0.6666666666666666,0.30769230769230765,0.35
SE3`,0.1,0.3333333333333333,0.15384615384615383,0.5
SE4,0.2,0.6666666666666666,0.30769230769230765,0.8333333333333333
SE4`,0.2,0.6666666666666666,0.30769230769230765,0.5833333333333333
