Search Engine,Precision,Recall,F-Measure,MAP
SE0,0.4,0.6666666666666666,0.5,0.7152777777777777
SE1,0.4,0.6666666666666666,0.5,0.7152777777777777
SE1`,0.4,0.6666666666666666,0.5,0.7152777777777777
SE2,0.4,0.6666666666666666,0.5,0.7470238095238095
SE2`,0.4,0.6666666666666666,0.5,0.7470238095238095
SE3,0.4,0.6666666666666666,0.5,0.7470238095238095
SE3`,0.5,0.8333333333333334,0.625,0.7783333333333333
SE4,0.5,0.8333333333333334,0.625,0.7595238095238095
SE4`,0.5,0.8333333333333334,0.625,0.6783333333333333
